date,pluie,delta,skylight,gt_48hr
2015-03-01 19:45:20.000,0,0 days 00:05:00,DAY,False
2015-03-01 19:50:21.000,0,0 days 00:05:01,DAY,False
2015-03-01 19:55:21.000,0,0 days 00:05:00,DAY,False
2015-03-01 20:00:22.000,0,0 days 00:05:01,DAY,False
2015-03-01 20:05:23.000,0,0 days 00:05:01,DAY,False
2015-03-01 20:10:23.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 20:15:25.000,0,0 days 00:05:02,NIGHT,False
2015-03-01 20:20:25.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 20:25:26.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 20:30:27.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 20:35:28.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 20:40:28.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 20:45:28.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 20:50:30.000,0,0 days 00:05:02,NIGHT,False
2015-03-01 20:55:31.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 21:00:32.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 21:05:33.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 21:15:37.000,0,0 days 00:10:04,NIGHT,False
2015-03-01 21:20:37.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 21:25:39.000,0,0 days 00:05:02,NIGHT,False
2015-03-01 21:30:40.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 21:35:41.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 21:40:42.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 21:45:44.000,0,0 days 00:05:02,NIGHT,False
2015-03-01 21:50:44.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 21:55:45.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 22:00:47.000,0,0 days 00:05:02,NIGHT,False
2015-03-01 22:05:47.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 22:10:48.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 22:15:48.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 22:20:49.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 22:25:50.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 22:30:50.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 22:35:51.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 22:40:51.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 22:45:53.000,0,0 days 00:05:02,NIGHT,False
2015-03-01 22:50:55.000,0,0 days 00:05:02,NIGHT,False
2015-03-01 22:55:55.000,0,0 days 00:05:00,NIGHT,False
2015-03-01 23:00:56.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 23:05:57.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 23:10:58.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 23:15:59.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 23:21:00.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 23:26:01.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 23:31:02.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 23:36:03.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 23:41:04.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 23:46:05.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 23:51:06.000,0,0 days 00:05:01,NIGHT,False
2015-03-01 23:56:07.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 00:01:09.000,0,0 days 00:05:02,NIGHT,False
2015-03-02 00:06:10.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 00:11:11.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 00:16:13.000,0,0 days 00:05:02,NIGHT,False
2015-03-02 00:21:14.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 00:26:15.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 00:31:17.000,0,0 days 00:05:02,NIGHT,False
2015-03-02 00:36:18.000,0,0 days 00:05:01,NIGHT,False
2015-03-02 00:41:19.000,0,0 days 00:05:01,NIGHT,False
